RAT: Libraries loaded.

Processing readMTV.C...
***********************************************************************************************
*    Row   * Instance * trackPDG  *  trackPos *  trackPos *  trackPos *  trackTim *  trackPro *
*        7 *       84 *      2212 * 13069.373 * -12335.54 * -13268.92 * 33493.122 *         1 *
*        7 *       85 *      2212 * 13069.373 * -12335.54 * -13268.92 * 33493.122 *         4 *
*        7 *       89 *      2212 * 13067.760 * -12335.58 * -13268.81 * 31948.044 *         1 *
*        7 *       90 *      2212 * 13067.760 * -12335.58 * -13268.81 * 31948.044 *         4 *
*        7 *       91 *      2212 * 13067.318 * -12333.16 * -13268.05 * 31165.256 *         1 *
*        7 *       92 *      2212 * 13067.318 * -12333.16 * -13268.05 * 31165.256 *         4 *
*        7 *       93 *      2212 * 13071.246 * -12329.86 * -13265.31 * 29194.761 *         1 *
*        7 *       94 *      2212 * 13071.246 * -12329.86 * -13265.31 * 29194.762 *         4 *
*        7 *       95 *      2212 * 13070.567 * -12325.22 * -13265.87 * 25979.184 *         1 *
*        7 *       96 *      2212 * 13070.567 * -12325.22 * -13265.87 * 25979.185 *         4 *
*        7 *       97 *      2212 * 13070.661 * -12325.85 * -13267.43 * 25292.211 *         1 *
*        7 *       98 *      2212 * 13070.661 * -12325.85 * -13267.43 * 25292.212 *         4 *
*        7 *       99 *      2212 * 13071.121 * -12326.11 * -13267.73 * 25045.860 *         1 *
*        7 *      100 *      2212 * 13071.121 * -12326.11 * -13267.73 * 25045.860 *         4 *
*        7 *      101 *      2212 * 13071.475 * -12325.43 * -13267.36 * 24779.795 *         1 *
*        7 *      102 *      2212 * 13071.475 * -12325.43 * -13267.36 * 24779.796 *         4 *
*        7 *      106 *      2212 * 13066.259 * -12319.57 * -13258.92 * 19475.819 *         1 *
*        7 *      107 *      2212 * 13066.259 * -12319.57 * -13258.92 * 19475.819 *         4 *
*        7 *      108 *      2212 * 13066.678 * -12320.35 * -13256.96 * 18733.362 *         1 *
*        7 *      109 *      2212 * 13066.678 * -12320.35 * -13256.96 * 18733.362 *         4 *
*        7 *      113 *      2212 * 13064.520 * -12331.31 * -13251.36 * 13983.166 *         1 *
*        7 *      114 *      2212 * 13064.520 * -12331.31 * -13251.36 * 13983.166 *         4 *
*        7 *      118 *      2212 * 13066.450 * -12334.16 * -13255.41 * 9660.0461 *         1 *
*        7 *      119 *      2212 * 13066.450 * -12334.16 * -13255.41 * 9660.0464 *         4 *
*        7 *      120 *      2212 * 13066.585 * -12334.09 * -13255.30 * 9610.3913 *         1 *
*        7 *      121 *      2212 * 13066.585 * -12334.09 * -13255.30 * 9610.3916 *         4 *
*        7 *      122 *      2212 * 13078.452 * -12318.23 * -13248.41 * 3666.5600 *         1 *
*        7 *      123 *      2212 * 13078.452 * -12318.23 * -13248.41 * 3666.5603 *         4 *
*        7 *      124 *      2212 * 13077.526 * -12309.26 * -13251.83 * 2831.5521 *         1 *
*        7 *      125 *      2212 * 13077.526 * -12309.26 * -13251.83 * 2831.5524 *         4 *
